"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"sustainability.gov","sustainability.gov","https://www.sustainability.gov","Environmental Protection Agency","dotgov","Yes"
"sworm.gov","sworm.gov","https://www.sworm.gov","Department of Commerce","dotgov","No"
"swpa.gov","swpa.gov","https://swpa.gov","Department of Energy","dotgov","Yes"
"symbols.gov","symbols.gov","https://symbols.gov","U.S. Department of Agriculture","dotgov","Yes"
"taaps.gov","taaps.gov","https://taaps.gov","Department of the Treasury","dotgov","Yes"
"tax.gov","tax.gov","https://www.tax.gov","Department of the Treasury","dotgov","No"
"telework.gov","telework.gov","https://telework.gov","Office of Personnel Management","dotgov","Yes"
"thecoolspot.gov","thecoolspot.gov","https://www.thecoolspot.gov","Department of Health and Human Services","dotgov","No"
"time.gov","time.gov","https://time.gov","Department of Commerce","dotgov","Yes"
"tox21.gov","tox21.gov","https://tox21.gov","Department of Health and Human Services","dotgov","Yes"
"trade.gov","trade.gov","https://www.trade.gov","Department of Commerce","dotgov","Yes"
"trafficsafetymarketing.gov","trafficsafetymarketing.gov","https://www.trafficsafetymarketing.gov","Department of Transportation","dotgov","Yes"
"transportation.gov","transportation.gov","https://www.transportation.gov","Department of Transportation","dotgov","Yes"
"treaslockbox.gov","treaslockbox.gov","https://treaslockbox.gov","Department of the Treasury","dotgov","No"
"treasury.gov","treasury.gov","https://www.treasury.gov","Department of the Treasury","dotgov","Yes"
"treasuryauctions.gov","treasuryauctions.gov","https://treasuryauctions.gov","Department of the Treasury","dotgov","Yes"
"treasurydirect.gov","treasurydirect.gov","https://treasurydirect.gov","Department of the Treasury","dotgov","Yes"
"treasuryhunt.gov","treasuryhunt.gov","https://treasuryhunt.gov","Department of the Treasury","dotgov","Yes"
"treasuryscams.gov","treasuryscams.gov","https://treasuryscams.gov","Department of the Treasury","dotgov","Yes"
"truman.gov","truman.gov","https://truman.gov","Harry S. Truman Scholarship Foundation","dotgov","No"
"trumanlibrary.gov","trumanlibrary.gov","https://www.trumanlibrary.gov","National Archives and Records Administration","dotgov","Yes"
"tsa.gov","tsa.gov","https://www.tsa.gov","Department of Homeland Security","dotgov","Yes"
"tsp.gov","tsp.gov","https://www.tsp.gov","Federal Retirement Thrift Investment Board","dotgov","No"
"tsunami.gov","tsunami.gov","https://tsunami.gov","Department of Commerce","dotgov","Yes"
"tswg.gov","tswg.gov","https://tswg.gov","Department of Defense","dotgov","Yes"
"ttb.gov","ttb.gov","https://www.ttb.gov","Department of the Treasury","dotgov","No"
"ttbonline.gov","ttbonline.gov","https://ttbonline.gov","Department of the Treasury","dotgov","Yes"
"ucrdatatool.gov","ucrdatatool.gov","http://ucrdatatool.gov","Department of Justice","dotgov","No"
"udall.gov","udall.gov","https://udall.gov","Morris K. Udall and Stewart L. Udall Foundation","dotgov","No"
"unicor.gov","unicor.gov","https://unicor.gov","Department of Justice","dotgov","Yes"
"unlocktalent.gov","unlocktalent.gov","https://unlocktalent.gov","Office of Personnel Management","dotgov","Yes"
"us-cert.gov","us-cert.gov","https://www.us-cert.gov","Department of Homeland Security","dotgov","Yes"
"usa.gov","usa.gov","https://www.usa.gov","General Services Administration","dotgov","Yes"
"usability.gov","usability.gov","https://www.usability.gov","Department of Health and Human Services","dotgov","Yes"
"usadf.gov","usadf.gov","https://www.usadf.gov","United States African Development Foundation","dotgov","No"
"usagm.gov","usagm.gov","https://www.usagm.gov","Broadcasting Board of Governors","dotgov","Yes"
"usaid.gov","usaid.gov","https://usaid.gov","U.S. Agency for International Development","dotgov","Yes"
"usajobs.gov","usajobs.gov","https://www.usajobs.gov","Office of Personnel Management","dotgov","Yes"
"usalearning.gov","usalearning.gov","https://usalearning.gov","Office of Personnel Management","dotgov","No"
"usap.gov","usap.gov","https://www.usap.gov","National Science Foundation","dotgov","Yes"
"usaspending.gov","usaspending.gov","https://www.usaspending.gov","Department of the Treasury","dotgov","Yes"
"usastaffing.gov","usastaffing.gov","https://usastaffing.gov","Office of Personnel Management","dotgov","Yes"
"usbr.gov","usbr.gov","https://usbr.gov","Department of the Interior","dotgov","Yes"
"usccr.gov","usccr.gov","https://www.usccr.gov","U.S. Commission on Civil Rights","dotgov","Yes"
"uscirf.gov","uscirf.gov","https://www.uscirf.gov","U.S. Commission on International Religious Freedom","dotgov","Yes"
"uscis.gov","uscis.gov","https://www.uscis.gov","Department of Homeland Security","dotgov","Yes"
"uscurrency.gov","uscurrency.gov","https://www.uscurrency.gov","Federal Reserve Board of Governors","dotgov","No"
"usda.gov","usda.gov","https://www.usda.gov","U.S. Department of Agriculture","dotgov","Yes"
"usdebitcard.gov","usdebitcard.gov","https://www.usdebitcard.gov","Department of the Treasury","dotgov","Yes"
"usds.gov","usds.gov","https://www.usds.gov","Executive Office of the President","dotgov","No"
"usembassy.gov","usembassy.gov","https://www.usembassy.gov","Department of State","dotgov","Yes"
"usgs.gov","usgs.gov","https://www.usgs.gov","Department of the Interior","dotgov","Yes"
"usich.gov","usich.gov","https://www.usich.gov","United States Interagency Council on Homelessness","dotgov","No"
"usitc.gov","usitc.gov","https://usitc.gov","United States International Trade Commission","dotgov","Yes"
"usmarshals.gov","usmarshals.gov","https://www.usmarshals.gov","Department of Justice","dotgov","Yes"
"usmint.gov","usmint.gov","https://www.usmint.gov","Department of the Treasury","dotgov","Yes"
"usphs.gov","usphs.gov","https://usphs.gov","Department of Health and Human Services","dotgov","No"
"uspis.gov","uspis.gov","https://www.uspis.gov","United States Postal Service","dotgov","No"
"uspsoig.gov","uspsoig.gov","https://www.uspsoig.gov","United States Postal Service, Office of Inspector General","dotgov","No"
"uspto.gov","uspto.gov","https://www.uspto.gov","Department of Commerce","dotgov","Yes"
"ustda.gov","ustda.gov","https://ustda.gov","United States Trade and Development Agency","dotgov","Yes"
"ustr.gov","ustr.gov","https://ustr.gov","Executive Office of the President","dotgov","No"
"utahfireinfo.gov","utahfireinfo.gov","https://utahfireinfo.gov","Department of the Interior","dotgov","No"
"va.gov","va.gov","https://www.va.gov","Department of Veterans Affairs","dotgov","Yes"
"vaccines.gov","vaccines.gov","https://www.vaccines.gov","Department of Health and Human Services","dotgov","Yes"
"vcf.gov","vcf.gov","http://www.vcf.gov","Department of Justice","dotgov","Yes"
"veterans.gov","veterans.gov","https://www.veterans.gov","Department of Labor","dotgov","Yes"
"vistacampus.gov","vistacampus.gov","https://vistacampus.gov","Corporation for National & Community Service","dotgov","Yes"
"volcano.gov","volcano.gov","https://volcano.gov","Department of the Interior","dotgov","Yes"
"volunteer.gov","volunteer.gov","https://www.volunteer.gov","Department of the Interior","dotgov","Yes"
"vote.gov","vote.gov","https://vote.gov","General Services Administration","dotgov","Yes"
"wapa.gov","wapa.gov","https://www.wapa.gov","Department of Energy","dotgov","No"
"watermonitor.gov","watermonitor.gov","https://watermonitor.gov","Department of the Interior","dotgov","No"
"weather.gov","weather.gov","https://www.weather.gov","Department of Commerce","dotgov","Yes"
"webharvest.gov","webharvest.gov","https://www.webharvest.gov","National Archives and Records Administration","dotgov","Yes"
"whistleblower.gov","whistleblower.gov","https://whistleblower.gov","Commodity Futures Trading Commission","dotgov","Yes"
"whistleblowers.gov","whistleblowers.gov","https://www.whistleblowers.gov","Department of Labor","dotgov","Yes"
"whitehouse.gov","whitehouse.gov","https://www.whitehouse.gov","Executive Office of the President","dotgov","Yes"
"whitehouseconferenceonaging.gov","whitehouseconferenceonaging.gov","https://whitehouseconferenceonaging.gov","Department of Health and Human Services","dotgov","No"
"wizard.gov","wizard.gov","https://wizard.gov","Department of the Treasury","dotgov","Yes"
"wlci.gov","wlci.gov","https://www.wlci.gov","Department of the Interior","dotgov","Yes"
"womenshealth.gov","womenshealth.gov","https://www.womenshealth.gov","Department of Health and Human Services","dotgov","Yes"
"worker.gov","worker.gov","https://www.worker.gov","Department of Labor","dotgov","Yes"
"workplace.gov","workplace.gov","https://www.workplace.gov","Department of the Treasury","dotgov","No"
"wrp.gov","wrp.gov","https://www.wrp.gov","Department of Labor","dotgov","No"
"xd.gov","xd.gov","https://www.xd.gov","Department of Commerce","dotgov","No"
"youth.gov","youth.gov","https://youth.gov","Department of Health and Human Services","dotgov","No"
"youthrules.gov","youthrules.gov","https://www.youthrules.gov","Department of Labor","dotgov","Yes"
