"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"endingthedocumentgame.gov","endingthedocumentgame.gov","https://endingthedocumentgame.gov","Department of Health and Human Services","dotgov","No"
"energy.gov","energy.gov","https://www.energy.gov","Department of Energy","dotgov","Yes"
"energycodes.gov","energycodes.gov","https://www.energycodes.gov","Department of Energy","dotgov","No"
"energystar.gov","energystar.gov","https://www.energystar.gov","Environmental Protection Agency","dotgov","Yes"
"epa.gov","epa.gov","https://www.epa.gov","Environmental Protection Agency","dotgov","Yes"
"esc.gov","esc.gov","https://esc.gov","Department of Transportation","dotgov","No"
"esrs.gov","esrs.gov","https://www.esrs.gov","General Services Administration","dotgov","Yes"
"eta-find.gov","eta-find.gov","https://eta-find.gov","Department of the Treasury","dotgov","No"
"ethicsburg.gov","ethicsburg.gov","https://www.ethicsburg.gov","Department of the Treasury","dotgov","No"
"evergladesrestoration.gov","evergladesrestoration.gov","https://evergladesrestoration.gov","Department of the Interior","dotgov","No"
"everykidoutdoors.gov","everykidoutdoors.gov","https://everykidoutdoors.gov","Department of the Interior","dotgov","Yes"
"evus.gov","evus.gov","https://www.evus.gov","Department of Homeland Security","dotgov","Yes"
"execsec.gov","execsec.gov","https://www.execsec.gov","U.S. Department of Agriculture","dotgov","No"
"exim.gov","exim.gov","https://www.exim.gov","Export/Import Bank of the U.S.","dotgov","No"
"eyenote.gov","eyenote.gov","https://eyenote.gov","Department of the Treasury","dotgov","No"
"faa.gov","faa.gov","https://www.faa.gov","Department of Transportation","dotgov","Yes"
"faasafety.gov","faasafety.gov","https://faasafety.gov","Department of Transportation","dotgov","No"
"facadatabase.gov","facadatabase.gov","https://www.facadatabase.gov","General Services Administration","dotgov","Yes"
"fai.gov","fai.gov","https://www.fai.gov","General Services Administration","dotgov","Yes"
"fan.gov","fan.gov","https://fan.gov","Department of State","dotgov","No"
"fapiis.gov","fapiis.gov","https://www.fapiis.gov","General Services Administration","dotgov","No"
"farmers.gov","farmers.gov","https://www.farmers.gov","U.S. Department of Agriculture","dotgov","Yes"
"fatherhood.gov","fatherhood.gov","https://fatherhood.gov","Department of Health and Human Services","dotgov","No"
"fbf.gov","fbf.gov","https://fbf.gov","General Services Administration","dotgov","No"
"fbiic.gov","fbiic.gov","https://www.fbiic.gov","Federal Reserve Board of Governors","dotgov","No"
